verdict	name	region	url	note
CLEAN	BVJJ	BC	https://bvjj.ca	50 anchors, 24 hidden, nav only
CLEAN	Bairro Brazilian Jiu-Jitsu Academy	AB	https://bairro.ca	82 anchors, 34 hidden, nav/tel only
CLEAN	Bairro Martial Arts Academy South	AB	https://bairro.ca	82 anchors, 34 hidden, nav/tel only
CLEAN	Bakersfield Brazilian Jiu Jitsu / BJJ Bakersfield CA 93313	CA	https://www.mattbakerbjj.com/	108 anchors, 75 hidden, Wix nav only
CLEAN	Balance Jiu Jitsu	MB	https://www.balancebjjwinnipeg.com	36 anchors, 11 hidden, nav only
CLEAN	Bar Harbor Brazilian Jiu Jitsu	ME	https://barharborbjj.com	18 anchors, 7 hidden, nav only
CLEAN	BarnYard MMA	KY	https://barnyardmma.com/	80 anchors, 3 hidden, nav only
CLEAN	Barrie BJJ	ON	https://705bjj.com/	39 anchors, 5 hidden, nav only
CLEAN	Base Camp Brazilian Jiu Jitsu	CA	https://www.basecampbjj.com/	46 anchors, 13 hidden, nav only
CLEAN	BattleGround Jiu-Jitsu Academy	MA	https://battlegroundjiujitsu.com	26 anchors, 4 hidden, nav/social only
CLEAN	Battles Jiu Jitsu	ID	https://www.battlesjiujitsu.com	91 anchors, 62 hidden, nav only
CLEAN	Bayou Jiu Jitsu & Self Defense Baton Rouge	LA	https://bayoujiujitsu.us/	94 anchors, 54 hidden, nav only
CLEAN	Be Jiu Jitsu	LA	https://be-jj.com	37 anchors, 12 hidden, nav only
CLEAN	Bearclan Jiujitsu	ME	https://bearclanjiujitsu.com	24 anchors, 14 hidden, nav only
CLEAN	Beaufort MMA	SC	https://www.beaufortmma.com	171 anchors, 74 hidden, nav only
CLEAN	Believe Jiu Jitsu	SC	https://believejiujitsu.com	50 anchors, 11 hidden, nav only
CLEAN	Bellevue Academy of Brazilian Jiu Jitsu	NE	https://bellevuebjj.com	19 anchors, 5 hidden, nav only
CLEAN	Bellingham BJJ	WA	https://bellinghambjj.com	36 anchors, 12 hidden, nav only
CLEAN	Bellum Brazilian Jiu Jitsu	MN	https://bellumbrazilianjiujitsu.com	42 anchors, 25 hidden, nav only
CLEAN	Bemidji BJJ	MN	https://www.bemidjibjj.com	22 anchors, 17 hidden, nav only
CLEAN	Bergen County Brazilian Jiu-Jitsu	NJ	https://www.jiujitsutrainingnj.com/	11 anchors, 4 hidden, nav only
CLEAN	Big Country - Orillia	ON	https://bigcountryorillia.gymdesk.com	49 anchors, 0 hidden
CLEAN	Bindner Academy	ON	https://bindner.academy	19 anchors, 13 hidden, nav only
CLEAN	Binghamton Brazilian Jiu Jitsu	NY	https://broomecountymartialarts.com/	37 anchors, 15 hidden, nav only
CLEAN	Birmingham Brazilian Jiu Jitsu Spartan Fitness	AL	https://spartanfitnessmma.com/classes/Brazilian-Jiu-Jitsu	33 anchors, 8 hidden, nav only
CLEAN	Bismarck MMA	ND	https://bismarckmma.com	29 anchors, 14 hidden, nav only
CLEAN	Bitterroot Warrior Arts Stevensville	MT	https://www.bugoutmt.com/bitterrootwarriorarts	29 anchors, 8 hidden, nav only
